Date,Price,Open,High,Low,Vol.,Change %
8/28/2023,637.94,643.92,644.61,636.49,98.99M,-0.90%
8/25/2023,643.73,642.84,646.69,639.73,109.57M,0.14%
8/24/2023,642.84,654.7,655.14,639.11,186.89M,-1.81%
8/23/2023,654.7,659.19,660.63,654.7,49.68M,-0.68%
8/22/2023,659.19,664.43,664.99,657.04,116.82M,-0.90%
8/21/2023,665.21,667.57,667.96,663.67,49.61M,-0.35%
8/18/2023,667.57,667.15,668.94,665.53,75.16M,0.06%
8/17/2023,667.15,670.33,670.33,664.6,141.61M,-0.47%
8/16/2023,670.33,673.31,673.31,665.39,92.53M,-0.44%
8/15/2023,673.31,672.3,673.31,665.29,98.90M,-0.08%
8/14/2023,673.86,681.58,682.54,672.63,73.75M,-1.13%
8/11/2023,681.58,681.53,682.34,679.64,165.61M,0.01%
8/10/2023,681.53,680.61,683.09,678.94,67.45M,0.19%
8/9/2023,680.22,682.68,684.48,679.07,88.40M,-0.36%
8/8/2023,682.68,678.56,682.68,676.83,127.63M,0.61%
8/7/2023,678.56,673.1,678.97,670.1,125.14M,0.81%
8/4/2023,673.1,675.07,678.28,669.14,92.69M,-0.40%
8/3/2023,675.79,655.92,690.01,655.92,172.98M,3.19%
8/2/2023,654.92,657.4,661.02,651.41,87.56M,-0.35%
8/1/2023,657.25,663.72,663.72,647.67,171.75M,-1.94%
7/31/2023,670.22,683.84,684.09,665.42,150.92M,-2.55%
7/28/2023,687.78,696.58,696.58,679.68,191.78M,-1.26%
7/27/2023,696.58,696.46,703.88,693.99,139.96M,0.02%
7/26/2023,696.46,700.79,709.51,696.46,190.27M,-0.60%
7/25/2023,700.63,697.49,705.44,691.99,186.61M,0.45%
7/24/2023,697.49,704.52,711.33,686.9,205.99M,-0.83%
7/21/2023,703.32,647.24,705.85,647.24,404.39M,9.46%
7/20/2023,642.51,638.72,645.53,637.79,1.07B,0.59%
7/19/2023,638.72,652.93,654.92,633.61,108.15M,-2.05%
7/18/2023,652.11,655.21,662.98,644.72,205.07M,-0.17%
7/17/2023,653.24,607.29,653.24,590.92,291.91M,7.57%
7/14/2023,607.29,630.02,630.02,583.41,293.07M,-4.42%
7/13/2023,635.35,680.44,680.44,633.25,270.43M,-6.63%
7/12/2023,680.44,696.91,696.91,645.08,398.09M,-2.61%
7/11/2023,698.65,721,721,698.65,276.66M,-3.10%
7/10/2023,721,708.77,749.03,708.77,531.15M,1.73%
7/7/2023,708.77,686,713.77,686,449.35M,3.33%
7/6/2023,685.92,673.87,687.96,673.87,231.51M,-2.48%
7/5/2023,703.39,689.95,710.12,689.28,272.85M,6.18%
7/4/2023,662.45,686.75,686.75,660.19,816.86M,-3.88%
7/3/2023,689.19,646.8,689.46,646.8,1.15B,6.78%
6/30/2023,645.42,635.28,645.45,635.28,496.14M,1.69%
6/27/2023,634.69,612.82,637.38,611.17,371.16M,3.50%
6/26/2023,613.2,598.85,613.2,597.81,217.06M,2.40%
6/23/2023,598.85,602.13,604.07,598.02,179.95M,-0.54%
6/22/2023,602.13,605.91,606.28,598.38,174.33M,-0.62%
6/21/2023,605.91,609.54,613.49,603.3,152.64M,-0.60%
6/20/2023,609.54,609.69,611.3,607.12,203.77M,0.02%
6/19/2023,609.41,592.14,611.65,591.72,396.41M,2.92%
6/16/2023,592.14,599.9,608.09,584.65,237.10M,-14.63%
6/15/2023,693.58,730.53,767.81,684.17,1.23B,-4.16%
6/14/2023,723.71,572.9,724.1,572.9,1.20B,26.52%
6/13/2023,572.01,525.93,572.01,525.63,557.27M,8.76%
6/9/2023,525.93,525.23,526.83,520.83,154.70M,0.13%
6/8/2023,525.23,520.07,525.62,519.02,266.51M,0.99%
6/7/2023,520.07,521.07,524.97,518.18,94.04M,-0.25%
6/6/2023,521.35,521.63,524.26,516.98,147.91M,-0.05%
6/5/2023,521.63,520.23,521.63,512.59,122.45M,0.27%
6/2/2023,520.23,528.44,529,512.6,163.60M,-1.55%
6/1/2023,528.44,523.52,532.02,519.95,184.89M,0.95%
5/31/2023,523.45,537.01,537.81,504.39,319.10M,-2.46%
5/30/2023,536.64,495.99,539.49,495.99,401.38M,8.20%
5/26/2023,495.99,485.62,496.23,481.44,193.97M,2.14%
5/25/2023,485.62,486.14,486.84,482.2,204.21M,-0.11%
5/24/2023,486.14,482.06,489.3,473.34,216.22M,1.06%
5/23/2023,481.05,474.38,481.05,474.03,152.02M,1.55%
5/22/2023,473.71,469.55,473.71,464.69,161.25M,0.89%
5/19/2023,469.55,463.69,469.55,461.32,426.91M,1.26%
5/18/2023,463.69,466.14,466.87,461.68,124.99M,-0.44%
5/17/2023,465.76,461.31,468.98,460.92,429.60M,0.96%
5/16/2023,461.31,457.06,462.79,457.06,225.40M,1.10%
5/15/2023,456.3,457.16,459.04,455.62,196.17M,-0.02%
5/12/2023,456.4,455.42,456.4,453.9,1.14B,0.22%
5/11/2023,455.42,460.88,462.29,452.54,327.61M,-1.35%
5/10/2023,461.64,459.34,461.83,458.46,239.73M,-1.22%
5/9/2023,467.33,463.42,467.71,462.66,349.01M,0.76%
5/8/2023,463.8,462.87,464.57,461.72,278.44M,0.62%
5/5/2023,460.96,456.99,461.34,455.29,315.27M,1.37%
5/4/2023,454.71,451.3,457.84,450.93,303.06M,0.76%
5/3/2023,451.3,450.53,455.15,450.13,255.01M,0.17%
5/2/2023,450.53,440.35,450.53,440.21,227.61M,2.84%
4/28/2023,438.07,435.55,438.74,434.19,207.65M,0.94%
4/27/2023,434,435.98,436.74,433.19,1.32B,-0.45%
4/26/2023,435.98,436.56,439.14,435.62,137.10M,-0.08%
4/25/2023,436.34,436.82,443.14,435.57,316.09M,1.30%
4/20/2023,430.74,425.47,431.11,423.73,247.06M,2.90%
4/19/2023,418.62,415.43,418.62,414.8,54.74M,0.77%
4/18/2023,415.43,417.52,417.52,414.69,58.08M,-0.50%
4/17/2023,417.52,420.45,420.45,414.15,99.48M,-5.53%
4/14/2023,441.95,441.17,442.68,439.83,176.86M,0.10%
4/13/2023,441.51,446.32,446.68,441.51,96.16M,-1.08%
4/12/2023,446.32,446.7,447.01,445.73,76.34M,-0.09%
4/11/2023,446.7,448.23,448.44,446,89.52M,-0.34%
4/6/2023,448.23,447.51,449.08,447.46,52.14M,0.08%
4/5/2023,447.89,445.72,448.99,445.54,89.63M,0.49%
4/4/2023,445.72,452.15,452.88,443.07,105.86M,-1.34%
4/3/2023,451.78,452.97,453.83,451.78,134.76M,-0.26%
3/31/2023,452.97,450.21,453.93,450.21,137.11M,0.61%
3/30/2023,450.21,445.75,450.71,445.75,181.98M,1.00%
3/29/2023,445.75,442.19,446.09,438.83,63.39M,1.97%
3/28/2023,437.15,435.96,437.49,435.77,63.14M,0.27%
3/27/2023,435.96,436.95,437.44,435.96,29.67M,-0.23%
3/24/2023,436.95,438.06,438.11,436.71,49.09M,-0.25%
3/23/2023,438.06,439.99,441.06,437.72,38.25M,-0.45%
3/22/2023,440.06,440.1,445.01,440.06,35.07M,-0.01%
3/21/2023,440.1,438.53,442.5,437.83,53.65M,0.36%
3/20/2023,438.53,432.92,438.53,432.92,42.93M,1.30%
3/17/2023,432.92,432.13,434.37,431.72,55.63M,0.18%
3/16/2023,432.13,436.51,436.51,426.93,54.66M,-1.00%
3/15/2023,436.51,445.2,445.2,436.51,52.59M,-1.95%
3/14/2023,445.2,446.28,446.28,443.85,73.59M,-0.24%
3/13/2023,446.28,453.73,453.76,446.28,64.98M,-1.64%
3/10/2023,453.73,456.28,457.02,453.37,47.41M,-0.56%
3/9/2023,456.28,456.32,457.06,455.34,40.86M,-0.01%
3/8/2023,456.32,456.05,456.39,455.16,35.27M,0.06%
3/7/2023,456.05,461.11,461.11,454.82,52.74M,-1.03%
3/6/2023,460.78,462.14,462.24,459.57,36.50M,-0.29%
3/3/2023,462.14,459.88,462.85,458.62,83.96M,0.17%
3/2/2023,461.35,466.55,466.55,458.09,61.58M,-1.11%
3/1/2023,466.55,466.82,468.08,463.09,70.97M,-0.04%
2/28/2023,466.76,459.03,470.17,458.16,94.63M,1.68%
2/27/2023,459.03,456.73,459.37,455.56,34.79M,0.48%
2/24/2023,456.85,448.96,456.85,448.93,43.14M,1.76%
2/23/2023,448.96,447.2,449.42,447.2,53.40M,0.39%
2/22/2023,447.2,446.1,447.2,445.36,32.64M,0.25%
2/21/2023,446.1,447.78,449.34,445.88,46.54M,-0.38%
